SERIAL,Sync&Rep=1,78.0061
SERIAL,Sync&Rep=5,68.9924
SERIAL,Async&Rep=1,77.0182
SERIAL,Async&Rep=1-5,69.0670
SERIAL,Async&Rep=5,69.7722
SERIAL,Ensemble&Rep=1,78.0226
SERIAL,Ensemble&Rep=5,74.5172
CONCURRENCY,Sync&Rep=1,129.6141
CONCURRENCY,Sync&Rep=5,61.3770
CONCURRENCY,Async&Rep=1,82.2151
CONCURRENCY,Async&Rep=1-5,62.1109
CONCURRENCY,Async&Rep=5,39.7665
CONCURRENCY,Ensemble&Rep=1,78.5030
CONCURRENCY,Ensemble&Rep=5,42.0340
RANDOM,Sync&Rep=1,128.6310
RANDOM,Sync&Rep=5,81.6896
RANDOM,Async&Rep=1,80.3438
RANDOM,Async&Rep=5,41.8438
